dist_to_flag,dist_to_teammate,flag_pressure,graph_position,action,q_value,visit_count
far,near,low,central,intercept,-0.9576,9652
far,near,low,peripheral,lurk,-0.8955,3485
far,near,med,central,lurk,-0.6723,1521
far,near,high,peripheral,flank,-0.2793,2116
far,near,high,central,flank,-0.5095,2427
far,far,med,peripheral,chase,-0.3402,212
far,near,med,peripheral,flank,-0.6637,2048
far,far,med,central,flank,-0.3367,375
far,far,high,central,intercept,-0.1125,390
far,far,high,peripheral,chase,0.3888,409
far,far,low,central,lurk,-0.617,493
far,far,low,peripheral,flank,-0.5797,279
mid,near,low,central,chase,-0.5838,3109
mid,near,med,peripheral,flank,-0.6008,3567
mid,near,high,peripheral,chase,0.1806,5229
mid,near,high,central,chase,-0.3076,4897
mid,near,med,central,flank,-0.5356,601
mid,near,low,peripheral,flank,-0.4933,2317
mid,far,high,peripheral,lurk,3.615,21
mid,far,low,central,chase,-0.3853,75
mid,far,med,peripheral,intercept,-0.2619,36
mid,far,med,central,flank,-0.2685,198
mid,far,low,peripheral,flank,-0.3879,279
mid,far,high,central,chase,-0.1528,55
near,near,high,peripheral,flank,10.0,170
near,far,high,peripheral,flank,10.0,16
near,near,high,central,intercept,10.0,18
