dist_to_flag,dist_to_teammate,flag_pressure,graph_position,action,q_value,visit_count
carrier,near,low,peripheral,patrol,4.2978,2941
carrier,near,high,peripheral,escape,2.566,1622
carrier,near,med,peripheral,patrol,4.1348,129
carrier,far,high,peripheral,escape,3.3788,2
carrier,near,high,central,escape,3.796,346
carrier,near,low,central,handoff,4.2831,12
carrier,near,med,central,escape,4.0787,70
carrier,far,low,central,decoy,3.2408,1
carrier,far,med,central,patrol,-3.8145,2
far,near,low,peripheral,support,4.1551,3988
far,near,low,central,support,4.0831,749
far,near,high,peripheral,support,2.975,3900
far,near,high,central,link,1.8983,1296
far,near,med,peripheral,support,3.7532,951
far,near,med,central,support,3.5693,313
far,far,med,peripheral,support,3.7412,38
far,far,high,peripheral,support,2.5468,51
far,far,med,central,link,3.1578,14
far,far,low,peripheral,support,4.0393,58
far,far,high,central,link,0.3716,42
far,far,low,central,support,3.9622,33
mid,near,low,peripheral,support,4.0881,5325
mid,near,low,central,link,4.1027,3017
mid,near,high,peripheral,link,3.3424,6453
mid,near,high,central,support,3.3697,3297
mid,near,med,peripheral,support,3.8339,534
mid,near,med,central,support,3.7723,512
mid,far,high,peripheral,support,2.9055,3
mid,far,high,central,link,3.1579,9
near,near,low,peripheral,support,4.033,2731
near,near,low,central,link,4.2645,459
near,near,high,central,link,4.0566,1932
near,near,high,peripheral,link,2.9606,3019
near,near,med,peripheral,link,4.0656,65
near,near,med,central,link,4.2456,33
