dist_to_flag,dist_to_teammate,flag_pressure,graph_position,action,q_value,visit_count
carrier,near,low,peripheral,patrol,4.2748,1424
carrier,near,high,peripheral,handoff,3.5069,13487
carrier,near,high,central,escape,4.1159,1439
carrier,near,low,central,patrol,4.623,5463
far,near,low,peripheral,link,4.2182,5596
far,near,high,peripheral,support,3.6,13274
far,near,high,central,support,3.559,10852
far,far,high,peripheral,support,3.5066,112
far,near,low,central,link,4.3849,7420
far,far,low,peripheral,link,4.182,31
far,far,high,central,link,3.7097,9
far,far,low,central,support,4.4068,29
mid,near,low,peripheral,support,4.0909,5171
mid,near,low,central,support,4.4809,20361
mid,near,high,peripheral,link,3.4371,4812
mid,near,high,central,support,3.7949,30636
mid,far,low,peripheral,link,4.3692,2
mid,far,high,peripheral,link,2.9341,5
mid,far,low,central,link,3.9175,4
mid,far,high,central,link,2.4961,1
near,near,low,peripheral,link,4.0781,3107
near,near,high,peripheral,link,3.4502,19132
near,near,high,central,link,4.1205,8133
near,near,low,central,support,4.5546,8951
