episode,phase,pursuer_baseline,n_pursuers,n_evaders,winner,evader_win,turns,flag_transfers,total_reward,epsilon
0,train,1,4,4,Pursuers,0,8,6,75.522,0.3
1,train,1,4,4,Pursuers,0,5,4,35.444,0.3
2,train,1,4,4,Pursuers,0,25,17,306.071,0.3
3,train,1,4,4,Pursuers,0,6,5,49.412,0.3
4,train,1,4,4,Pursuers,0,5,3,32.778,0.3
5,train,1,4,4,Pursuers,0,11,3,108.816,0.3
6,train,1,4,4,Pursuers,0,7,6,63.24,0.3
7,train,1,4,4,Pursuers,0,11,4,111.193,0.3
8,train,1,4,4,Pursuers,0,17,7,220.025,0.3
9,train,1,4,4,Pursuers,0,11,5,111.149,0.3
10,train,1,4,4,Pursuers,0,7,6,63.24,0.3
11,train,1,4,4,Pursuers,0,8,7,75.655,0.3
12,train,1,4,4,Pursuers,0,18,12,207.423,0.3
13,train,1,4,4,Pursuers,0,13,9,156.84,0.3
14,train,1,4,4,Pursuers,0,10,5,100.662,0.3
15,train,1,4,4,Pursuers,0,11,5,111.149,0.3
16,train,1,4,4,Pursuers,0,8,5,75.37,0.3
17,train,1,4,4,Pursuers,0,11,3,108.816,0.3
18,train,1,4,4,Pursuers,0,11,5,111.989,0.3
19,train,1,4,4,Pursuers,0,12,8,128.72,0.3
20,train,1,4,4,Pursuers,0,6,6,50.412,0.3
21,train,1,4,4,Pursuers,0,13,6,135.315,0.3
22,train,1,4,4,Pursuers,0,7,6,63.24,0.3
23,train,1,4,4,Pursuers,0,13,6,141.006,0.3
24,train,1,4,4,Pursuers,0,11,5,111.149,0.3
25,train,1,4,4,Pursuers,0,17,8,201.546,0.3
26,train,1,4,4,Pursuers,0,5,4,34.249,0.3
27,train,1,4,4,Pursuers,0,11,5,111.149,0.3
28,train,1,4,4,Pursuers,0,19,8,227.176,0.3
29,train,1,4,4,Pursuers,0,12,8,128.645,0.3
30,train,1,4,4,Pursuers,0,11,3,109.86,0.3
31,train,1,4,4,Pursuers,0,11,5,98.031,0.3
32,train,1,4,4,Pursuers,0,11,3,109.482,0.3
33,train,1,4,4,Pursuers,0,7,6,63.24,0.3
34,train,1,4,4,Pursuers,0,7,5,62.44,0.3
35,train,1,4,4,Pursuers,0,15,6,181.774,0.3
36,train,1,4,4,Pursuers,0,25,10,318.688,0.3
37,train,1,4,4,Pursuers,0,15,6,167.015,0.3
38,train,1,4,4,Pursuers,0,29,9,359.531,0.3
39,train,1,4,4,Pursuers,0,11,5,111.149,0.3
40,train,1,4,4,Pursuers,0,7,6,63.24,0.3
41,train,1,4,4,Pursuers,0,19,7,202.923,0.3
42,train,1,4,4,Pursuers,0,10,5,86.583,0.3
43,train,1,4,4,Pursuers,0,7,5,62.573,0.3
44,train,1,4,4,Pursuers,0,11,4,110.482,0.3
45,train,1,4,4,Pursuers,0,5,3,33.582,0.3
46,train,1,4,4,Pursuers,0,6,5,49.412,0.3
47,train,1,4,4,Pursuers,0,11,4,110.989,0.3
48,train,1,4,4,Pursuers,0,11,4,109.415,0.3
49,train,1,4,4,Pursuers,0,10,7,102.295,0.3
50,train,1,4,4,Pursuers,0,6,4,48.945,0.3
51,train,1,4,4,Pursuers,0,7,6,63.24,0.3
52,train,1,4,4,Pursuers,0,11,4,109.282,0.3
53,train,1,4,4,Pursuers,0,14,7,146.16,0.3
54,train,1,4,4,Pursuers,0,19,9,222.064,0.3
55,train,1,4,4,Pursuers,0,8,5,75.037,0.3
56,train,1,4,4,Pursuers,0,9,6,88.781,0.3
57,train,1,4,4,Pursuers,0,7,6,63.24,0.3
