episode,phase,pursuer_baseline,n_pursuers,n_evaders,winner,evader_win,turns,flag_transfers,total_reward,epsilon
0,train,1,4,4,Pursuers,0,6,3,47.945,0.1
1,train,1,4,4,Pursuers,0,11,2,88.241,0.1
2,train,1,4,4,Pursuers,0,6,4,48.945,0.1
3,train,1,4,4,Pursuers,0,7,6,63.24,0.1
4,train,1,4,4,Pursuers,0,11,5,111.149,0.1
5,train,1,4,4,Pursuers,0,11,4,110.149,0.1
6,train,1,4,4,Pursuers,0,11,3,109.682,0.1
7,train,1,4,4,Pursuers,0,9,6,88.037,0.1
8,train,1,4,4,Pursuers,0,23,9,284.26,0.1
9,train,1,4,4,Pursuers,0,11,5,111.149,0.1
10,train,1,4,4,Pursuers,0,6,6,50.412,0.1
11,train,1,4,4,Pursuers,0,11,5,111.149,0.1
12,train,1,4,4,Pursuers,0,11,5,111.149,0.1
13,train,1,4,4,Pursuers,0,8,6,76.037,0.1
14,train,1,4,4,Pursuers,0,11,6,112.082,0.1
15,train,1,4,4,Pursuers,0,9,6,88.781,0.1
16,train,1,4,4,Pursuers,0,28,28,348.193,0.1
17,train,1,4,4,Pursuers,0,38,38,484.484,0.1
18,train,1,4,4,Pursuers,0,15,15,171.199,0.1
19,train,1,4,4,Pursuers,0,19,19,225.83,0.1
20,train,1,4,4,Pursuers,0,38,38,486.413,0.1
21,train,1,4,4,Pursuers,0,39,38,508.328,0.1
22,train,1,4,4,Pursuers,0,28,28,348.322,0.1
23,train,1,4,4,Pursuers,0,56,54,748.157,0.1
24,train,1,4,4,Pursuers,0,26,25,320.104,0.1
25,train,1,4,4,Pursuers,0,41,41,523.653,0.1
26,train,1,4,4,Pursuers,0,46,46,593.517,0.1
27,train,1,4,4,Pursuers,0,52,52,675.42,0.1
28,train,1,4,4,Pursuers,0,8,7,75.655,0.1
29,train,1,4,4,Pursuers,0,5,5,36.111,0.1
30,train,1,4,4,Pursuers,0,28,28,347.435,0.1
31,train,1,4,4,Pursuers,0,22,22,266.419,0.1
32,train,1,4,4,Pursuers,0,12,11,129.401,0.1
33,train,1,4,4,Pursuers,0,90,88,1226.348,0.1
34,train,1,4,4,Pursuers,0,34,32,428.501,0.1
35,train,1,4,4,Pursuers,0,40,40,511.742,0.1
36,train,1,4,4,Pursuers,0,51,50,662.599,0.1
37,train,1,4,4,Pursuers,0,72,72,947.6,0.1
