pursuer_baseline,evader_baseline,n_pursuers,n_evaders,pursuer_roles,evader_roles,episodes,evader_wins,evader_win_rate,avg_turns,avg_flag_transfers
2,3,8,8,"chase,flank,chase,flank,chase,flank,chase,flank","escape,support,support,expand,expand,expand,expand,expand",20,0,0.0,7.0,2.0
3,1,4,4,"chase,intercept,flank,lurk","escape,support,support,support",20,0,0.0,12.0,1.0
3,1,4,6,"chase,intercept,flank,lurk","escape,support,support,support,support,support",20,0,0.0,12.0,1.0
3,1,4,8,"chase,intercept,flank,lurk","escape,support,support,support,support,support,support,support",20,0,0.0,14.0,3.0
3,1,6,4,"chase,intercept,intercept,flank,flank,lurk","escape,support,support,support",20,0,0.0,14.0,2.0
3,1,6,6,"chase,intercept,intercept,flank,flank,lurk","escape,support,support,support,support,support",20,0,0.0,14.0,2.0
3,1,6,8,"chase,intercept,intercept,flank,flank,lurk","escape,support,support,support,support,support,support,support",20,20,1.0,200.0,73.0
3,1,8,4,"chase,chase,intercept,intercept,flank,flank,lurk,lurk","escape,support,support,support",20,0,0.0,5.0,0.0
3,1,8,6,"chase,chase,intercept,intercept,flank,flank,lurk,lurk","escape,support,support,support,support,support",20,0,0.0,5.0,0.0
3,1,8,8,"chase,chase,intercept,intercept,flank,flank,lurk,lurk","escape,support,support,support,support,support,support,support",20,0,0.0,5.0,0.0
3,2,4,4,"chase,intercept,flank,lurk","patrol,support,expand,expand",20,0,0.0,1.0,0.0
3,2,4,6,"chase,intercept,flank,lurk","patrol,support,support,expand,expand,expand",20,0,0.0,2.0,2.0
3,2,4,8,"chase,intercept,flank,lurk","patrol,support,support,support,expand,expand,expand,expand",20,0,0.0,2.0,2.0
3,2,6,4,"chase,intercept,intercept,flank,flank,lurk","patrol,support,expand,expand",20,0,0.0,1.0,1.0
3,2,6,6,"chase,intercept,intercept,flank,flank,lurk","patrol,support,support,expand,expand,expand",20,0,0.0,9.0,8.0
3,2,6,8,"chase,intercept,intercept,flank,flank,lurk","patrol,support,support,support,expand,expand,expand,expand",20,0,0.0,10.0,9.0
3,2,8,4,"chase,chase,intercept,intercept,flank,flank,lurk,lurk","patrol,support,expand,expand",20,0,0.0,1.0,1.0
3,2,8,6,"chase,chase,intercept,intercept,flank,flank,lurk,lurk","patrol,support,support,expand,expand,expand",20,0,0.0,1.0,1.0
3,2,8,8,"chase,chase,intercept,intercept,flank,flank,lurk,lurk","patrol,support,support,support,expand,expand,expand,expand",20,0,0.0,1.0,1.0
3,3,4,4,"chase,intercept,flank,lurk","escape,support,expand,expand",20,0,0.0,12.0,1.0
3,3,4,6,"chase,intercept,flank,lurk","escape,support,support,expand,expand,expand",20,0,0.0,12.0,1.0
3,3,4,8,"chase,intercept,flank,lurk","escape,support,support,expand,expand,expand,expand,expand",20,0,0.0,12.0,1.0
3,3,6,4,"chase,intercept,intercept,flank,flank,lurk","escape,support,expand,expand",20,0,0.0,14.0,2.0
3,3,6,6,"chase,intercept,intercept,flank,flank,lurk","escape,support,support,expand,expand,expand",20,0,0.0,16.0,3.0
3,3,6,8,"chase,intercept,intercept,flank,flank,lurk","escape,support,support,expand,expand,expand,expand,expand",20,0,0.0,19.0,4.0
3,3,8,4,"chase,chase,intercept,intercept,flank,flank,lurk,lurk","escape,support,expand,expand",20,0,0.0,5.0,0.0
3,3,8,6,"chase,chase,intercept,intercept,flank,flank,lurk,lurk","escape,support,support,expand,expand,expand",20,0,0.0,5.0,0.0
3,3,8,8,"chase,chase,intercept,intercept,flank,flank,lurk,lurk","escape,support,support,expand,expand,expand,expand,expand",20,0,0.0,5.0,0.0
