episode,phase,evader_baseline,n_pursuers,n_evaders,winner,evader_win,turns,flag_transfers,total_reward,epsilon
0,train,1,4,4,Pursuers,0,21,1,18.014,0.1
1,train,1,4,4,Pursuers,0,12,1,45.857,0.1
2,train,1,4,4,Pursuers,0,12,1,45.857,0.1
3,train,1,4,4,Pursuers,0,12,1,46.157,0.1
4,train,1,4,4,Pursuers,0,6,0,57.657,0.1
5,train,1,4,4,Pursuers,0,6,0,55.057,0.1
6,train,1,4,4,Pursuers,0,6,0,56.857,0.1
7,train,1,4,4,Pursuers,0,6,0,59.057,0.1
8,train,1,4,4,Pursuers,0,6,0,57.657,0.1
9,train,1,4,4,Pursuers,0,6,0,56.357,0.1
10,train,1,4,4,Pursuers,0,12,1,43.757,0.1
11,train,1,4,4,Pursuers,0,6,0,56.157,0.1
12,train,1,4,4,Pursuers,0,12,1,45.057,0.1
13,train,1,4,4,Pursuers,0,6,0,58.257,0.1
14,train,1,4,4,Pursuers,0,6,0,57.657,0.1
15,train,1,4,4,Pursuers,0,6,0,57.657,0.1
16,train,1,4,4,Pursuers,0,6,0,58.257,0.1
17,train,1,4,4,Pursuers,0,6,0,57.657,0.1
18,train,1,4,4,Pursuers,0,6,0,58.257,0.1
19,train,1,4,4,Pursuers,0,6,0,58.457,0.1
20,train,1,4,4,Pursuers,0,6,0,57.657,0.1
21,train,1,4,4,Pursuers,0,6,0,58.257,0.1
22,train,1,4,4,Pursuers,0,6,0,57.657,0.1
23,train,1,4,4,Pursuers,0,6,0,57.657,0.1
24,train,1,4,4,Pursuers,0,6,0,57.657,0.1
25,train,1,4,4,Pursuers,0,6,0,58.257,0.1
26,train,1,4,4,Pursuers,0,6,0,56.657,0.1
27,train,1,4,4,Pursuers,0,6,0,57.657,0.1
28,train,1,4,4,Pursuers,0,6,0,56.657,0.1
29,train,1,4,4,Pursuers,0,6,0,58.257,0.1
30,train,1,4,4,Pursuers,0,6,0,59.657,0.1
31,train,1,4,4,Pursuers,0,6,0,58.457,0.1
32,train,1,4,4,Pursuers,0,6,0,57.657,0.1
33,train,1,4,4,Pursuers,0,6,0,57.257,0.1
34,train,1,4,4,Pursuers,0,6,0,56.057,0.1
35,train,1,4,4,Pursuers,0,6,0,57.657,0.1
36,train,1,4,4,Pursuers,0,6,0,57.857,0.1
37,train,1,4,4,Pursuers,0,6,0,56.357,0.1
38,train,1,4,4,Pursuers,0,6,0,57.657,0.1
39,train,1,4,4,Pursuers,0,6,0,57.657,0.1
40,train,1,4,4,Pursuers,0,6,0,57.657,0.1
41,train,1,4,4,Pursuers,0,6,0,56.357,0.1
42,train,1,4,4,Pursuers,0,6,0,58.457,0.1
43,train,1,4,4,Pursuers,0,12,1,45.457,0.1
44,train,1,4,4,Pursuers,0,6,0,57.657,0.1
45,train,1,4,4,Pursuers,0,6,0,57.657,0.1
46,train,1,4,4,Pursuers,0,6,0,56.857,0.1
47,train,1,4,4,Pursuers,0,6,0,57.657,0.1
48,train,1,4,4,Pursuers,0,13,1,42.2,0.1
49,train,1,4,4,Pursuers,0,6,0,58.257,0.1
50,train,1,4,4,Pursuers,0,6,0,57.657,0.1
51,train,1,4,4,Pursuers,0,6,0,57.657,0.1
52,train,1,4,4,Pursuers,0,6,0,57.657,0.1
53,train,1,4,4,Pursuers,0,6,0,58.257,0.1
54,train,1,4,4,Pursuers,0,6,0,57.657,0.1
55,train,1,4,4,Pursuers,0,6,0,57.657,0.1
56,train,1,4,4,Pursuers,0,6,0,57.657,0.1
57,train,1,4,4,Pursuers,0,6,0,57.657,0.1
58,train,1,4,4,Pursuers,0,6,0,58.257,0.1
59,train,1,4,4,Pursuers,0,6,0,56.957,0.1
60,train,1,4,4,Pursuers,0,6,0,57.657,0.1
61,train,1,4,4,Pursuers,0,6,0,58.457,0.1
62,train,1,4,4,Pursuers,0,6,0,57.657,0.1
63,train,1,4,4,Pursuers,0,6,0,57.657,0.1
64,train,1,4,4,Pursuers,0,6,0,56.057,0.1
65,train,1,4,4,Pursuers,0,6,0,58.457,0.1
66,train,1,4,4,Pursuers,0,6,0,57.657,0.1
67,train,1,4,4,Pursuers,0,7,0,56.157,0.1
68,train,1,4,4,Pursuers,0,6,0,57.657,0.1
69,train,1,4,4,Pursuers,0,7,0,53.157,0.1
70,train,1,4,4,Pursuers,0,6,0,57.657,0.1
71,train,1,4,4,Pursuers,0,6,0,57.657,0.1
72,train,1,4,4,Pursuers,0,6,0,58.257,0.1
73,train,1,4,4,Pursuers,0,6,0,58.257,0.1
74,train,1,4,4,Pursuers,0,7,0,54.357,0.1
75,train,1,4,4,Pursuers,0,6,0,58.457,0.1
76,train,1,4,4,Pursuers,0,13,1,39.514,0.1
77,train,1,4,4,Pursuers,0,6,0,58.257,0.1
