episode,phase,evader_baseline,n_pursuers,n_evaders,winner,evader_win,turns,flag_transfers,total_reward,epsilon
0,train,1,4,4,Pursuers,0,7,0,48.557,0.4
1,train,1,4,4,Pursuers,0,13,1,37.243,0.4
2,train,1,4,4,Pursuers,0,12,1,41.657,0.4
3,train,1,4,4,Pursuers,0,6,0,58.257,0.4
4,train,1,4,4,Pursuers,0,7,0,50.957,0.4
5,train,1,4,4,Pursuers,0,6,0,57.257,0.4
6,train,1,4,4,Pursuers,0,7,0,49.557,0.4
7,train,1,4,4,Pursuers,0,6,0,55.057,0.4
8,train,1,4,4,Pursuers,0,6,0,57.657,0.4
9,train,1,4,4,Pursuers,0,12,1,45.343,0.4
10,train,1,4,4,Pursuers,0,6,0,56.457,0.4
11,train,1,4,4,Pursuers,0,6,0,58.257,0.4
12,train,1,4,4,Pursuers,0,6,0,56.757,0.4
13,train,1,4,4,Pursuers,0,13,1,37.486,0.4
14,train,1,4,4,Pursuers,0,19,2,38.057,0.4
15,train,1,4,4,Pursuers,0,6,0,56.957,0.4
16,train,1,4,4,Pursuers,0,6,0,55.557,0.4
17,train,1,4,4,Pursuers,0,6,0,56.057,0.4
18,train,1,4,4,Pursuers,0,13,1,41.29,0.4
19,train,1,4,4,Pursuers,0,7,0,53.257,0.4
20,train,1,4,4,Pursuers,0,6,0,57.057,0.4
21,train,1,4,4,Pursuers,0,12,1,42.857,0.4
22,train,1,4,4,Pursuers,0,6,0,57.657,0.4
23,train,1,4,4,Pursuers,0,6,0,56.957,0.4
24,train,1,4,4,Pursuers,0,6,0,55.457,0.4
25,train,1,4,4,Pursuers,0,6,0,55.657,0.4
26,train,1,4,4,Pursuers,0,6,0,55.857,0.4
27,train,1,4,4,Pursuers,0,20,1,16.79,0.4
28,train,1,4,4,Pursuers,0,7,0,55.057,0.4
29,train,1,4,4,Pursuers,0,6,0,58.457,0.4
30,train,1,4,4,Pursuers,0,13,1,34.057,0.4
31,train,1,4,4,Pursuers,0,13,1,37.443,0.4
32,train,1,4,4,Pursuers,0,6,0,58.857,0.4
33,train,1,4,4,Pursuers,0,6,0,56.357,0.4
34,train,1,4,4,Pursuers,0,6,0,56.057,0.4
35,train,1,4,4,Pursuers,0,6,0,54.557,0.4
36,train,1,4,4,Pursuers,0,12,1,45.057,0.4
37,train,1,4,4,Pursuers,0,6,0,57.857,0.4
